candidate_model_key,evaluation_family,condition_id,row_count,metric_group,metric,count,mean,stdev,p50,p90,p95,max
llama31_8b_instruct,rag_performance,base,40,latency_ms,input_load_ms,40,0.006818,0.004515,0.006008,0.011698,0.017609,0.021403
llama31_8b_instruct,rag_performance,base,40,latency_ms,image_perturb_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,query_embedding_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,metadata_filter_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,vector_search_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,rerank_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,context_assembly_ms,40,0.005058,0.005625,0.00368,0.00747,0.009304,0.037034
llama31_8b_instruct,rag_performance,base,40,latency_ms,retrieval_total_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,prompt_build_ms,40,0.012274,0.006895,0.009883,0.022378,0.024819,0.031165
llama31_8b_instruct,rag_performance,base,40,latency_ms,preprocess_ms,40,1.737512,0.580457,1.538693,2.678719,2.85853,3.20877
llama31_8b_instruct,rag_performance,base,40,latency_ms,ttft_ms,40,51.669276,9.004595,49.611699,62.464757,66.134757,90.186866
llama31_8b_instruct,rag_performance,base,40,latency_ms,generation_ms,40,869.413805,1781.536474,383.903797,1079.43125,1388.969093,10223.593068
llama31_8b_instruct,rag_performance,base,40,latency_ms,decode_ms,40,0.137879,0.054797,0.126118,0.182121,0.204257,0.40496
llama31_8b_instruct,rag_performance,base,40,latency_ms,question_to_response_ms,40,871.479983,1781.495922,385.731716,1083.006257,1390.535711,10225.770077
llama31_8b_instruct,rag_performance,base,40,resources,process_rss_peak_mib,40,2689.441211,0.963819,2689.753906,2690.011719,2690.067187,2690.085938
llama31_8b_instruct,rag_performance,base,40,resources,system_memory_used_peak_mib,40,33630.83418,668.981612,33494.644531,34756.039453,34880.227734,35070.09375
llama31_8b_instruct,rag_performance,base,40,resources,gpu_device_memory_used_peak_mib,40,22201.75,382.682753,22419.0,22419.0,22419.0,22419.0
llama31_8b_instruct,rag_performance,base,40,resources,torch_allocated_peak_mib,40,19708.79834,4.491898,19708.067871,19709.336426,19710.221557,19733.362305
llama31_8b_instruct,rag_performance,base,40,resources,torch_reserved_peak_mib,40,21844.75,382.682753,22062.0,22062.0,22062.0,22062.0
llama31_8b_instruct,rag_performance,base,40,resources,gpu_utilization_mean_pct,40,88.656891,13.952236,95.666667,96.666667,96.7,97.666667
llama31_8b_instruct,rag_performance,base,40,resources,gpu_utilization_peak_pct,40,96.125,0.96576,96.0,97.0,97.05,98.0
llama31_8b_instruct,rag_performance,base,40,resources,gpu_power_mean_w,40,234.341108,7.471435,233.61,240.998334,242.2505,256.943333
llama31_8b_instruct,rag_performance,base,40,resources,gpu_power_peak_w,40,239.249,7.362876,241.53,243.843,244.217,264.26
llama31_8b_instruct,rag_performance,base,40,tokens,prompt_tokens,40,112.075,3.751154,112.0,117.1,118.0,120.0
llama31_8b_instruct,rag_performance,base,40,tokens,output_tokens,40,25.625,53.414532,11.0,31.2,41.7,305.0
llama31_8b_instruct,rag_performance,base,40,tokens,total_tokens,40,137.7,53.325897,125.0,149.1,161.3,414.0
llama31_8b_instruct,rag_performance,base,40,throughput,output_tokens_per_generation_second,40,28.886181,0.952496,29.038618,29.663986,29.839869,30.198995
llama31_8b_instruct,rag_performance,base,40,overhead,unattributed_end_to_end_overhead_ms,40,0.166637,0.042067,0.154094,0.206784,0.233739,0.349658
llama31_8b_instruct,rag_performance,rag,40,latency_ms,input_load_ms,40,0.002853,0.001351,0.002392,0.004381,0.005264,0.007552
llama31_8b_instruct,rag_performance,rag,40,latency_ms,image_perturb_ms,0,,,,,,
llama31_8b_instruct,rag_performance,rag,40,latency_ms,query_embedding_ms,40,29.371037,10.121619,30.240915,41.199414,45.934569,55.231935
llama31_8b_instruct,rag_performance,rag,40,latency_ms,metadata_filter_ms,40,0.009153,0.003847,0.008203,0.016032,0.016455,0.01774
llama31_8b_instruct,rag_performance,rag,40,latency_ms,vector_search_ms,40,115.476631,27.203086,114.224548,152.488496,161.142166,162.992061
llama31_8b_instruct,rag_performance,rag,40,latency_ms,rerank_ms,40,854.705356,12.498436,855.447116,871.876937,874.877086,879.065435
llama31_8b_instruct,rag_performance,rag,40,latency_ms,context_assembly_ms,40,0.080519,0.011101,0.076228,0.094376,0.106761,0.110148
llama31_8b_instruct,rag_performance,rag,40,latency_ms,retrieval_total_ms,40,975.509257,37.357714,975.800751,1021.753588,1033.881582,1044.966188
llama31_8b_instruct,rag_performance,rag,40,latency_ms,prompt_build_ms,40,0.008132,0.001843,0.007708,0.010805,0.011586,0.015202
llama31_8b_instruct,rag_performance,rag,40,latency_ms,preprocess_ms,40,10.822886,1.56981,10.690978,12.963714,13.959053,15.09568
llama31_8b_instruct,rag_performance,rag,40,latency_ms,ttft_ms,40,1645.012492,38.659314,1652.386773,1684.663615,1700.984838,1736.515772
llama31_8b_instruct,rag_performance,rag,40,latency_ms,generation_ms,40,8992.421312,4747.373304,7262.961476,16261.337106,16913.216647,19120.757137
llama31_8b_instruct,rag_performance,rag,40,latency_ms,decode_ms,40,0.641615,0.390477,0.489453,1.153076,1.298933,1.684797
llama31_8b_instruct,rag_performance,rag,40,latency_ms,question_to_response_ms,40,9980.350653,4745.296128,8286.01254,17213.664638,17896.887006,20161.862302
llama31_8b_instruct,rag_performance,rag,40,resources,process_rss_peak_mib,40,2689.58457,0.500231,2689.753906,2690.017188,2690.082226,2690.085938
llama31_8b_instruct,rag_performance,rag,40,resources,system_memory_used_peak_mib,40,34143.812988,577.793204,34139.953125,34846.736718,34971.826562,35187.839844
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_device_memory_used_peak_mib,40,22235.725,348.659998,22419.0,22419.0,22419.0,22419.0
llama31_8b_instruct,rag_performance,rag,40,resources,torch_allocated_peak_mib,40,20582.982959,16.871802,20585.20752,20602.844531,20606.578858,20609.324707
llama31_8b_instruct,rag_performance,rag,40,resources,torch_reserved_peak_mib,40,21872.05,353.997099,22062.0,22062.0,22062.0,22062.0
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_utilization_mean_pct,40,94.957795,3.579508,96.115131,96.871429,97.0125,97.285714
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_utilization_peak_pct,40,99.775,0.697523,100.0,100.0,100.0,100.0
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_power_mean_w,40,242.697509,3.073043,243.0345,246.39425,246.921857,248.465
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_power_peak_w,40,276.326,8.070577,276.84,284.731,287.1435,293.01
llama31_8b_instruct,rag_performance,rag,40,tokens,prompt_tokens,40,3776.75,68.294141,3789.0,3859.4,3878.5,3890.0
llama31_8b_instruct,rag_performance,rag,40,tokens,output_tokens,40,233.375,131.863505,185.5,436.0,453.7,512.0
llama31_8b_instruct,rag_performance,rag,40,tokens,total_tokens,40,4010.125,150.521859,3995.0,4216.9,4257.7,4370.0
llama31_8b_instruct,rag_performance,rag,40,throughput,output_tokens_per_generation_second,40,25.078447,2.624219,25.540932,26.78328,26.823776,26.881364
llama31_8b_instruct,rag_performance,rag,40,overhead,unattributed_end_to_end_overhead_ms,40,-998.698098,43.603612,-1005.151022,-938.33439,-923.671153,-917.99955
